"","prop","strength","tr.size","monophyly","chisq.p.value","topo.dist","trlen.dist","sd.trlen.dist"
"1","null","null","32","0","0.743069448471853","0","-0.00648653705459734","0.0158105858415155"
"2","null","null","64","0","0.3713935383378","1","0.00660486289720127","0.0130645059874446"
"3","eighth","mild","32","0","0","0","-0.0543828310335237","0.013683501198927"
"4","eighth","mild","64","0","0","2","-0.0635484231320843","0.037023845279553"
"5","eighth","strong","32","0","0","0","-0.0529703031857512","0.0221363551167475"
"6","eighth","strong","64","0","0","2","-0.0815721128671979","0.0257058394932553"
"7","eighth","strongest","32","0","0","0","-0.19008032163442","0.128225979272971"
"8","eighth","strongest","64","0","0","2","-0.1748648479982","0.0510673591716622"
"9","half","mild","32","0","0","0","-0.24319736971779","0.0201224842649516"
"10","half","mild","64","0","0","0","-0.243491325801291","0.0202708653450173"
"11","half","strong","32","0","0","0","-0.316487837306559","0.028749358229353"
"12","half","strong","64","0","0","2","-0.362369616158663","0.0269719914423746"
"13","half","strongest","32","0","0","4","-0.796034863998368","0.0930386697170008"
"14","half","strongest","64","0","0","2","-0.619463979979573","0.075393094239985"
